name,score
FTR51_len_sum,572
FTR33_sum,250
FTR51_len_mean,238
FTR43_sum,196
FTR16_kurt,186
week_mean,184
FTR41_sum,165
FTR34_skew_x,161
"FTR33__fft_coefficient__coeff_4__attr_""imag""",156
FTR51_len_kurt,154
FTR14_sum,153
FTR43_max_y,145
FTR33__spkt_welch_density__coeff_2,142
FTR9_sum,141
day_mean,141
FTR33__ar_coefficient__k_10__coeff_3,133
FTR51_len_std,126
FTR33__quantile__q_0.6,122
FTR32_kurt2_x,122
"FTR33__fft_coefficient__coeff_3__attr_""imag""",121
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",121
FTR33__spkt_welch_density__coeff_5,120
"FTR33__fft_coefficient__coeff_3__attr_""angle""",119
"FTR33__fft_coefficient__coeff_0__attr_""abs""",116
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""stderr""",116
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",116
FTR36_sum,116
FTR5_skew,115
FTR33__last_location_of_maximum,115
year_2016,115
FTR33__partial_autocorrelation__lag_4,113
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_2",113
FTR32_skew_x,112
FTR36_std,112
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",111
FTR33__ratio_beyond_r_sigma__r_0.5,111
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_5",110
FTR43_skew,109
"FTR33__fft_coefficient__coeff_2__attr_""angle""",107
FTR34_mean_x,107
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",107
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",106
FTR33_max,106
FTR14_mean_x,106
FTR35_kurt2_y,106
day_std,105
FTR48_std,104
FTR33__autocorrelation__lag_5,101
FTR33__autocorrelation__lag_4,101
FTR23_kurt2_x,101
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",101
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",100
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",100
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_8,99
FTR9_skew_x,99
FTR42_std,97
"FTR33__fft_coefficient__coeff_5__attr_""angle""",97
FTR33__partial_autocorrelation__lag_5,96
FTR5_kurt2_y,96
FTR33__ar_coefficient__k_10__coeff_1,96
FTR43_std,95
FTR33__quantile__q_0.9,94
FTR5_kurt2_x,94
FTR43_kurt,94
FTR44_mean_x,94
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_7,94
"FTR33__fft_coefficient__coeff_7__attr_""angle""",93
FTR34_skew,93
FTR33_std,93
FTR18_kurt2_x,92
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""",91
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""intercept""",91
FTR9_skew_y,91
FTR30_kurt2_x,91
FTR33__approximate_entropy__m_2__r_0.1,91
FTR33__sum_of_reoccurring_data_points,91
FTR43_kurt2_x,90
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",90
FTR34_skew_y,90
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_1,90
FTR33__partial_autocorrelation__lag_3,89
"FTR33__fft_coefficient__coeff_2__attr_""imag""",88
FTR43_skew_y,88
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",87
FTR32_std,87
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_2,87
day_min,86
FTR34_std_x,86
FTR33__first_location_of_maximum,85
"FTR33__fft_coefficient__coeff_4__attr_""angle""",85
FTR48_mean,85
FTR16_skew,85
FTR28_skew_y,85
FTR5_sum,85
FTR9_kurt,84
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",84
FTR17_max_x,83
FTR32_skew_y,83
FTR33__ar_coefficient__k_10__coeff_2,83
FTR44_std,83
FTR33__autocorrelation__lag_2,83
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",83
FTR51_len_skew,82
"FTR33__linear_trend__attr_""pvalue""",82
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",82
FTR33__partial_autocorrelation__lag_2,82
FTR33__partial_autocorrelation__lag_6,82
FTR33__autocorrelation__lag_3,82
FTR35_skew,81
month_11,81
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",80
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_3,80
FTR0_kurt2_y,80
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",80
FTR44_skew,80
FTR33__first_location_of_minimum,79
FTR33__ratio_beyond_r_sigma__r_1.5,79
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_9,79
FTR33__autocorrelation__lag_7,79
FTR33__sample_entropy,78
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_6,78
"FTR33__fft_coefficient__coeff_10__attr_""angle""",78
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_2",78
"FTR33__fft_coefficient__coeff_6__attr_""real""",78
FTR17_std,78
FTR33__partial_autocorrelation__lag_8,77
FTR30_skew,77
FTR33__partial_autocorrelation__lag_9,77
day_skew,77
FTR23_std,76
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_2",76
FTR0_mean_y,75
FTR33__approximate_entropy__m_2__r_0.9,75
FTR33__ar_coefficient__k_10__coeff_4,75
FTR28_sum,75
FTR35_max_y,75
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_2",75
FTR23_mean_x,74
FTR17_kurt2_x,74
FTR33__autocorrelation__lag_6,73
"FTR33__fft_coefficient__coeff_6__attr_""imag""",73
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",73
FTR33__median,73
FTR33__binned_entropy__max_bins_10,73
"FTR33__fft_aggregated__aggtype_""skew""",73
FTR10_kurt2_x,73
FTR23_std_x,73
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_2",73
"FTR33__fft_coefficient__coeff_2__attr_""real""",73
FTR34_kurt,72
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""",72
"FTR33__fft_coefficient__coeff_7__attr_""imag""",72
FTR35_std_y,71
"FTR33__fft_coefficient__coeff_5__attr_""imag""",71
FTR16_skew_x,71
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",71
FTR17_skew,71
FTR36_max,71
FTR33__index_mass_quantile__q_0.1,71
FTR50_kurt2_y,71
FTR35_max,70
"FTR33__fft_coefficient__coeff_1__attr_""real""",70
FTR30_skew_y,70
FTR34_kurt2_y,70
FTR18_kurt,69
FTR33__ratio_beyond_r_sigma__r_2,69
FTR33__abs_energy,69
FTR50_kurt2_x,69
FTR42_sum,69
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",69
FTR33__autocorrelation__lag_1,69
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""",69
FTR41_std,68
FTR34_mean_y,68
FTR33__autocorrelation__lag_9,68
FTR33__index_mass_quantile__q_0.9,68
FTR32_kurt,68
FTR35_mean_x,67
FTR30_sum,67
FTR44_skew_y,67
FTR5_skew_y,67
FTR35_kurt,67
"FTR33__fft_coefficient__coeff_3__attr_""real""",67
FTR9_kurt2_x,67
FTR0_std,67
"FTR33__fft_coefficient__coeff_6__attr_""angle""",67
FTR51_nunique,67
FTR0_std_y,67
"FTR33__agg_autocorrelation__f_agg_""var""",67
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",67
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20",67
FTR32_mean_x,66
"FTR33__fft_coefficient__coeff_4__attr_""abs""",66
"FTR33__fft_coefficient__coeff_20__attr_""real""",66
FTR35_mean_y,66
FTR44_kurt2_y,66
FTR17_max_y,66
FTR33__mean_second_derivative_central,66
FTR42_mean_x,66
FTR18_mean_x,66
FTR9_min_x,66
FTR42_kurt,66
FTR18_skew_x,66
"FTR33__agg_autocorrelation__f_agg_""mean""",65
FTR33__sum_of_reoccurring_values,65
FTR32_skew,65
FTR33_mean,65
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",65
FTR9_skew,64
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2",64
FTR10_sum,64
FTR48_kurt2_y,64
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_5",64
FTR48_mean_x,64
FTR33__quantile__q_0.1,64
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",64
FTR43_skew_x,63
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""stderr""",63
FTR42_skew,63
FTR8_kurt2_y,63
FTR16_kurt2_y,63
FTR43_max,63
"FTR33__fft_coefficient__coeff_5__attr_""real""",62
"FTR33__fft_coefficient__coeff_12__attr_""angle""",62
FTR33__last_location_of_minimum,62
FTR0_skew_x,62
FTR48_skew,62
year_2015,62
FTR33__quantile__q_0.7,62
"FTR33__fft_coefficient__coeff_6__attr_""abs""",62
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10",62
FTR33__approximate_entropy__m_2__r_0.3,62
FTR23_skew_y,61
FTR17_kurt2_y,61
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",61
FTR30_skew_x,61
FTR5_skew_x,61
FTR48_skew_y,61
FTR33__quantile__q_0.4,61
FTR41_kurt2_x,61
FTR48_kurt2_x,60
month_2,60
FTR30_max,60
FTR33__longest_strike_below_mean,60
"FTR33__fft_coefficient__coeff_8__attr_""angle""",60
FTR0_mean,60
"FTR33__fft_coefficient__coeff_1__attr_""angle""",60
FTR48_max,60
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",60
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5",60
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""stderr""",60
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",59
"FTR33__augmented_dickey_fuller__attr_""pvalue""",59
FTR44_mean,59
FTR42_skew_x,59
FTR33__autocorrelation__lag_8,59
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_2",59
FTR18_skew_y,58
FTR29_kurt2_x,58
FTR48_std_y,57
FTR0_skew,57
FTR18_std_y,57
FTR32_kurt2_y,57
FTR9_min,57
"FTR33__fft_coefficient__coeff_1__attr_""abs""",57
FTR0_kurt,57
"FTR33__fft_coefficient__coeff_10__attr_""real""",57
FTR17_skew_x,57
FTR44_kurt,57
FTR33__count_above_mean,57
FTR48_std_x,57
FTR33__index_mass_quantile__q_0.2,57
FTR33_max_y,56
FTR41_min,56
FTR17_kurt,56
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_5,56
FTR23_skew_x,56
FTR35_skew_y,56
FTR42_kurt2_x,55
"FTR33__agg_autocorrelation__f_agg_""median""",55
FTR35_std,55
FTR35_mean,55
FTR18_std,55
FTR16_kurt2_x,55
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",55
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_2",54
FTR33__partial_autocorrelation__lag_7,54
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_2",54
"FTR33__fft_coefficient__coeff_4__attr_""real""",54
"FTR33__fft_coefficient__coeff_2__attr_""abs""",54
FTR42_std_x,54
FTR23_max_x,54
FTR0_mean_x,54
FTR44_kurt2_x,54
FTR33__index_mass_quantile__q_0.4,54
FTR14_mean_y,54
weekday_1,54
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_2",54
FTR17_skew_y,54
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2",54
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_2",54
FTR16_skew_y,54
FTR48_kurt,54
"FTR33__fft_coefficient__coeff_9__attr_""abs""",53
"FTR33__fft_aggregated__aggtype_""kurtosis""",53
"FTR33__fft_coefficient__coeff_7__attr_""real""",53
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""",53
FTR18_skew,53
"FTR33__fft_coefficient__coeff_9__attr_""real""",53
FTR30_kurt,53
"FTR33__fft_coefficient__coeff_8__attr_""real""",53
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",53
"FTR33__fft_coefficient__coeff_9__attr_""angle""",53
FTR33_skew,52
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_2",52
"FTR33__fft_coefficient__coeff_13__attr_""real""",52
FTR9_mean_x,52
FTR33__ratio_beyond_r_sigma__r_1,52
"FTR33__fft_coefficient__coeff_13__attr_""angle""",52
day_nunique,52
FTR33__ratio_value_number_to_time_series_length,51
FTR18_max_x,51
FTR42_std_y,51
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",51
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",51
weekday_6,51
FTR9_std,51
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_5",51
FTR48_skew_x,51
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""",51
FTR32_min_x,51
FTR34_kurt2_x,51
FTR30_std,51
"FTR33__fft_coefficient__coeff_9__attr_""imag""",50
"FTR33__fft_coefficient__coeff_12__attr_""imag""",50
FTR33__approximate_entropy__m_2__r_0.7,50
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10",50
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_20",50
FTR33__approximate_entropy__m_2__r_0.5,50
FTR44_mean_y,50
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_2",50
FTR23_std_y,50
FTR9_min_y,50
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",50
"FTR33__fft_coefficient__coeff_5__attr_""abs""",50
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20",50
FTR50_skew,50
FTR28_skew,50
FTR33__index_mass_quantile__q_0.7,50
FTR35_kurt2_x,50
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",50
"FTR33__linear_trend__attr_""stderr""",49
FTR30_kurt2_y,49
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""rvalue""",49
FTR5_kurt,49
FTR17_mean,49
FTR38_mean_x,49
"FTR33__fft_coefficient__coeff_8__attr_""imag""",49
FTR43_mean_x,49
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""rvalue""",49
FTR16_std_x,49
FTR33_skew_y,49
FTR41_max_y,49
FTR47_max,49
FTR44_skew_x,49
FTR41_min_y,49
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",49
FTR23_skew,49
"FTR33__fft_coefficient__coeff_7__attr_""abs""",48
FTR29_std_y,48
FTR43_max_x,48
"FTR33__fft_coefficient__coeff_10__attr_""abs""",48
FTR5_std_x,48
"FTR33__fft_coefficient__coeff_3__attr_""abs""",48
"FTR33__fft_coefficient__coeff_12__attr_""real""",48
FTR30_min_x,48
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""",48
FTR50_sum,47
FTR33_min,47
"FTR33__fft_coefficient__coeff_11__attr_""real""",47
FTR9_mean_y,47
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""slope""",47
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_20",47
FTR8_sum,47
FTR29_sum,47
FTR36_min_y,47
FTR36_mean,47
FTR38_mean_y,47
FTR17_std_x,46
FTR28_kurt2_x,46
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_5",46
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",46
FTR23_min_y,46
FTR12_sum,46
FTR34_min,46
FTR43_mean_y,45
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",45
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_4,45
FTR42_kurt2_y,45
FTR33__time_reversal_asymmetry_statistic__lag_2,45
FTR28_min,45
"FTR33__fft_coefficient__coeff_10__attr_""imag""",45
FTR36_min,45
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",45
FTR0_kurt2_x,45
FTR42_skew_y,45
FTR35_skew_x,45
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""slope""",45
FTR33__ar_coefficient__k_10__coeff_0,45
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_0,45
FTR29_mean_y,44
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",44
FTR36_kurt2_x,44
FTR9_std_y,44
FTR8_std_y,44
FTR42_mean_y,44
FTR18_mean_y,44
FTR12_std_x,44
FTR34_std_y,44
FTR48_mean_y,44
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",44
FTR28_min_y,44
FTR35_std_x,44
FTR41_kurt,44
FTR18_std_x,44
FTR33__c3__lag_3,44
"FTR33__fft_coefficient__coeff_0__attr_""real""",44
"FTR33__fft_aggregated__aggtype_""centroid""",44
FTR5_mean_x,44
FTR17_mean_x,44
month_10,44
FTR38_sum,44
FTR9_max_y,44
weekday_7,44
FTR12_mean_x,43
FTR43_min,43
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",43
FTR33__quantile__q_0.8,43
FTR30_max_x,43
FTR12_kurt2_y,43
"FTR33__fft_coefficient__coeff_11__attr_""imag""",43
FTR10_std_y,43
FTR17_std_y,43
FTR9_max,43
FTR33__absolute_sum_of_changes,43
FTR33__quantile__q_0.3,42
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_20",42
FTR9_mean,42
FTR14_mean,42
FTR44_min_x,42
FTR33__time_reversal_asymmetry_statistic__lag_1,42
FTR33__spkt_welch_density__coeff_8,42
FTR9_std_x,42
FTR16_mean_x,42
FTR28_std,42
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept""",42
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10",42
FTR47_mean_x,42
FTR0_std_x,42
FTR9_kurt2_y,41
FTR0_min_y,41
FTR28_kurt2_y,41
FTR0_min_x,41
FTR14_max,41
FTR33_min_y,41
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",41
FTR23_kurt2_y,41
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",41
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",41
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""",41
is_weekend_sum,41
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_5",41
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""",41
FTR43_kurt2_y,40
FTR5_max,40
FTR41_skew,40
FTR36_kurt2_y,40
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",40
FTR41_skew_y,40
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_2",40
"FTR33__fft_coefficient__coeff_1__attr_""imag""",40
FTR16_max,40
FTR38_skew_x,40
FTR38_max_y,40
FTR18_kurt2_y,40
FTR33__c3__lag_2,40
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""slope""",39
FTR17_mean_y,39
FTR30_mean,39
FTR23_mean_y,39
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",39
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",39
FTR41_mean,39
FTR32_std_y,39
FTR29_std,39
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""",39
FTR32_std_x,39
A0B0C0E0D0_count,39
FTR42_max,39
FTR43_std_x,39
"FTR33__fft_coefficient__coeff_18__attr_""imag""",38
FTR8_max,38
FTR34_sum,38
FTR44_std_y,38
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""",38
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""stderr""",38
FTR2_sum,38
"FTR33__fft_coefficient__coeff_18__attr_""abs""",38
FTR30_mean_x,38
FTR0_skew_y,38
FTR50_skew_y,38
month_12,38
FTR33__ratio_beyond_r_sigma__r_2.5,37
FTR10_skew,37
month_6,37
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5",37
FTR9_max_x,37
FTR48_max_y,37
FTR5_std,37
FTR38_kurt2_x,37
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",37
FTR36_skew,37
FTR29_skew_x,37
FTR44_max,37
FTR5_mean_y,37
FTR10_mean_x,37
FTR47_sum,37
FTR16_mean_y,37
FTR10_kurt2_y,37
"FTR33__fft_coefficient__coeff_14__attr_""real""",36
FTR8_mean,36
FTR8_mean_x,36
FTR17_sum,36
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10",36
FTR21_kurt,36
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",36
weekday_3,36
FTR30_min,36
FTR33_kurt2_x,36
FTR18_min_y,36
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_20",36
FTR18_min,36
FTR23_min_x,36
FTR5_mean,36
"FTR33__fft_coefficient__coeff_19__attr_""angle""",36
FTR2_mean_y,35
FTR50_mean_x,35
"FTR33__linear_trend__attr_""intercept""",35
FTR0_max,35
FTR21_mean_x,35
FTR10_skew_x,35
FTR0_max_x,35
month_9,35
FTR33__index_mass_quantile__q_0.3,35
FTR50_max_x,35
FTR8_mean_y,35
FTR36_skew_y,35
FTR42_max_x,34
FTR38_mean,34
FTR12_mean,34
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_5",34
FTR33__count_below_mean,34
FTR36_std_x,34
FTR23_min,34
FTR36_max_x,34
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",34
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",34
FTR32_mean,34
FTR5_std_y,34
FTR16_std,33
FTR41_max,33
FTR29_std_x,33
FTR14_max_x,33
FTR8_max_y,33
FTR33__percentage_of_reoccurring_datapoints_to_all_datapoints,33
"FTR33__fft_coefficient__coeff_11__attr_""angle""",33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10",33
FTR2_kurt,33
"FTR33__fft_coefficient__coeff_14__attr_""angle""",33
FTR34_std,33
FTR44_std_x,33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_20",33
FTR8_skew,33
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""",33
"FTR33__fft_coefficient__coeff_15__attr_""real""",33
FTR28_kurt,33
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10",33
